G52,Uh-huh?,,Uh-huh?,,,,,,,,,,,,,Alex_Oh_why_curious,"start=""sp1:start"" end=""sp1:start+1.4""/><face type='FACS' au='2' amount='.1' stroke='sp1:start+0' end='sp1:start+.3'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+.2' end='sp1:start+1'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+.2' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+1.4""/><face type='FACS' au='2' amount='.1' stroke='sp1:start+0' end='sp1:start+.3'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+.2' end='sp1:start+1'/><face type='FACS' au='45' amount='.4' stroke='sp1:start+.2' end='sp1:start+1'"
G53,Mhm,,Mhm,,,,,,,,,,,,,Alex_Yeah_agreeing,"start=""sp1:start"" end=""sp1:start+.5""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'","start=""sp1:start"" end=""sp1:start+1.5"""
G54,Yeah ,,Yeah,,,,,,,,,,,,,Alex_Yeah_agreeing,"start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'","start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'"
G55,Yeah ,,Yeah,,,,,,,,,,,,,Alex_Yeah_agreeing,"start=""sp1:start"" end=""sp1:start+1.1""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'","start=""sp1:start"" end=""sp1:start+1.5"""
G56,Yep,,Yep,,,,,,,,,,,,,Alex_Yeah_agreeing,"start=""sp1:start"" end=""sp1:start+.8""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'","start=""sp1:start"" end=""sp1:start+1.8""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'"
G57,I'm not sure,,I  ain't sure  ,,,,,,,,,,,,,Alex_Im_not_sure_answer,"start=""sp1:start"" end=""sp1:start+3.6""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0' end='sp1:start+1.5'/><face type='FACS' au='45' amount='1' stroke='sp1:start+0.6' end='sp1:start+2'","start=""sp1:start"" end=""sp1:start+3.6""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0' end='sp1:start+3.2'/><face type='FACS' au='45' amount='1' stroke='sp1:start+0.6' end='sp1:start+2'"
G58,I'm not sure,,I ain't sure,,,,,,,,,,,,,Alex_Im_not_sure_answer,"start=""sp1:start"" end=""sp1:start+1.2""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0' end='sp1:start+1.1'/><face type='FACS' au='45' amount='1' stroke='sp1:start+0.4' end='sp1:start+1.1'","start=""sp1:start"" end=""sp1:start+1.2""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0' end='sp1:start+1.2'/><face type='FACS' au='45' amount='1' stroke='sp1:start+.4' end='sp1:start+1.2'"
G59,Nah,,Nah,,,,,,,,,,,,,Alex_Im_not_sure_answer,,
G60,No,,No,,,,,,,,,,,,,Alex_Im_not_sure_answer,,
G61,I don't,,I don't,,,,,,,,,,,,,,,
G62,I do,,I do,,,,,,,,,,,,,Alex_Yeah_agreeing,"start=""sp1:start"" end=""sp1:start+.9""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'","start=""sp1:start"" end=""sp1:start+.9""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'"
G63,Oooh,,Oooh,,,,,,,,,,,,,Alex_Oh,,
G64,Oh,,Oh,,,,,,,,,,,,,Alex_Oh,"start=""sp1:start"" end=""sp1:start+.7""/><face type='FACS' au='4' amount='0.25' stroke='sp1:start+.25' end='sp1:start+.7'","start=""sp1:start"" end=""sp1:start+.7""/><face type='FACS' au='4' amount='0.25' stroke='sp1:start+.25' end='sp1:start+.7'"
G65,That makes sense.,,Dat makes sense.,,,,,,,,,,,,,,,
G66,Gotcha.,,Gotcha.,,,,,,,,,,,,,Alex_Yeah_agreeing,"start=""sp1:start"" end=""sp1:start+.7""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'","start=""sp1:start"" end=""sp1:start+.7""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'"
G67,"Oh, nevermind",,"Oh, nevermin'",,,,,,,,,,,,,,,
G68,Probly like,,Prolly like,,,,,,,,,,,,,,,
G69,You're crazy,,You crazy,,,,,,,,,,,,,,,
